0,BattleBackground,Visible,,,,,,,
0,Sound,ChurchBell,,ChurchBell,,,,,
0,SansAnimation,Tired,,,,,,,
9,SansHead,ClosedEyes,,,,,,,
0,SansHead,Chuckle,,,,,,,
0,SansText,ready?,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.06666,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,BattleBackground,Hidden,,,,,,,
0,SansTorso,Default,,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,Sound,GasterBlaster,1.4,,,,,,
0.26666,SansSlam,1,,,,,,,
0.5,SansBody,HandUp,,,,,,,
0,BoneStab,1,54,0.16666,1,,,,
0.7,HeartMode,0,,,,,,,
0,SansBody,HandRight,,,,,,,
0,Sound,Ding,,,,,,,
0,SansHead,NoEyes,,,,,,,
0.4,Sound,GasterBlaster,1.4,,,,,,
0.4,SineBones,20,-24,360,25,,,,
1.1,SansAnimation,Tired,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.9,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.333,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.333,0.26666
0.9,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.7,GasterBlaster,2,0,240,139,306,0,0.666,0.5
0,GasterBlaster,2,640,240,499,306,180,0.666,0.5
3,SansHead,LookLeft,,,,,,,
0,SansTorso,Default,,,,,,,
0,BattleBackground,FadeToVisible,,,,,,,
0,SansText,to be blunt| i'm not too surprised you dodged that.,,,,,,,
0,SansHead,Chuckle,,,,,,,
0,SansAnimation,,,,,,,,
0,SansText,then again..,,,,,,,
0,SansHead,BlueWink,,,,,,,
0,Sound,Ding,,,,,,,
0,SansText,this isn't the first time you have| is it?,,,,,,,
0,BlackScreen,1,,,,,,,
0,BattleBackground,Visible,,,,,,,
0,Sound,Flash,,,,,,,
1,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,EndAttack,,,,,,,,